"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2021","14.3791","14.2637","14.4201","14.1640","","0.85%"
"05/07/2021","14.2581","14.3188","14.3188","14.2019","","0.05%"
"02/07/2021","14.2503","14.4224","14.5198","14.2182","","-1.16%"
"01/07/2021","14.4174","14.2826","14.4805","14.2339","","1.05%"
"30/06/2021","14.2676","14.3483","14.3596","14.2142","","-0.55%"
"29/06/2021","14.3466","14.2248","14.3765","14.2150","","0.78%"
"28/06/2021","14.2350","14.1723","14.2810","14.1362","","0.66%"
"25/06/2021","14.1412","14.2038","14.2177","14.0197","","-0.35%"
"24/06/2021","14.1913","14.2286","14.2878","14.1549","","-0.11%"
"23/06/2021","14.2075","14.2717","14.2913","14.1408","","-0.39%"
"22/06/2021","14.2625","14.2392","14.3909","14.1459","","0.23%"
"21/06/2021","14.2296","14.3881","14.4031","14.2077","","-1.05%"
"18/06/2021","14.3806","14.0795","14.4005","14.0583","","2.19%"
"17/06/2021","14.0720","14.0042","14.1634","13.9393","","0.45%"
"16/06/2021","14.0092","13.7729","14.0434","13.6778","","1.81%"
"15/06/2021","13.7607","13.7870","13.8581","13.7088","","-0.03%"
"14/06/2021","13.7650","13.6925","13.8072","13.6854","","0.65%"
"11/06/2021","13.6758","13.5968","13.7651","13.5206","","0.60%"
"10/06/2021","13.5947","13.7461","13.7685","13.5694","","-1.13%"
"09/06/2021","13.7506","13.5479","13.7679","13.5191","","1.36%"
"08/06/2021","13.5656","13.4975","13.6093","13.4876","","0.56%"
"07/06/2021","13.4900","13.4000","13.5428","13.4000","","0.41%"
"04/06/2021","13.4346","13.6317","13.6903","13.4139","","-1.43%"
"03/06/2021","13.6301","13.5254","13.6587","13.4959","","0.88%"
"02/06/2021","13.5117","13.7481","13.8210","13.5082","","-1.70%"
"01/06/2021","13.7459","13.7258","13.8008","13.6781","","0.20%"
"31/05/2021","13.7183","13.7750","13.8050","13.7132","","-0.29%"
"28/05/2021","13.7579","13.7692","13.8794","13.7255","","0.04%"
"27/05/2021","13.7520","13.7731","13.8067","13.6758","","-0.10%"
"26/05/2021","13.7656","13.8671","13.8806","13.7407","","-0.64%"
"25/05/2021","13.8541","13.9192","13.9363","13.8138","","-0.45%"
"24/05/2021","13.9167","13.9550","14.0303","13.9047","","-0.28%"
"21/05/2021","13.9560","13.9954","14.0128","13.8906","","-0.09%"
"20/05/2021","13.9692","14.1063","14.1184","13.9615","","-0.93%"
"19/05/2021","14.1005","14.0002","14.1319","13.9709","","0.81%"
"18/05/2021","13.9875","14.0994","14.1174","13.9638","","-0.85%"
"17/05/2021","14.1079","14.1183","14.1883","14.0880","","-0.02%"
"14/05/2021","14.1108","14.1053","14.1843","14.0209","","0.02%"
"13/05/2021","14.1075","14.1305","14.2019","14.0556","","-0.04%"
"12/05/2021","14.1138","14.0258","14.1454","13.9576","","0.85%"
"11/05/2021","13.9943","14.0346","14.0848","13.9492","","-0.32%"
"10/05/2021","14.0390","14.0593","14.1256","13.9622","","-0.11%"
"07/05/2021","14.0541","14.2205","14.2701","14.0492","","-1.31%"
"06/05/2021","14.2401","14.3763","14.3853","14.1832","","-0.85%"
"05/05/2021","14.3617","14.5000","14.5330","14.3412","","-0.64%"
"04/05/2021","14.4541","14.3946","14.5446","14.3884","","0.44%"
"03/05/2021","14.3913","14.5321","14.5321","14.3674","","-0.71%"
"30/04/2021","14.4938","14.3117","14.5188","14.2860","","1.35%"
"29/04/2021","14.3008","14.2479","14.3637","14.1463","","0.52%"
"28/04/2021","14.2275","14.3496","14.4397","14.2062","","-0.94%"
"27/04/2021","14.3629","14.2725","14.3923","14.2546","","0.64%"
"26/04/2021","14.2722","14.3073","14.3073","14.2218","","0.03%"
"23/04/2021","14.2685","14.3070","14.3573","14.2354","","-0.20%"
"22/04/2021","14.2975","14.2463","14.3665","14.2008","","0.40%"
"21/04/2021","14.2408","14.3033","14.3401","14.2254","","-0.39%"
"20/04/2021","14.2971","14.2246","14.3399","14.1840","","0.58%"
"19/04/2021","14.2144","14.3421","14.3421","14.1704","","-0.60%"
"16/04/2021","14.3009","14.2000","14.3519","14.1457","","1.03%"
"15/04/2021","14.1556","14.3976","14.4394","14.1509","","-1.61%"
"14/04/2021","14.3872","14.5308","14.5363","14.3680","","-0.94%"
"13/04/2021","14.5233","14.5817","14.6882","14.5009","","-0.29%"
"12/04/2021","14.5651","14.6250","14.6692","14.5447","","-0.20%"
"09/04/2021","14.5937","14.5200","14.6294","14.5001","","0.62%"
"08/04/2021","14.5041","14.5667","14.5933","14.4445","","-0.35%"
"07/04/2021","14.5546","14.5333","14.6044","14.4833","","0.26%"
"06/04/2021","14.5168","14.5567","14.6224","14.4882","","-0.20%"
"05/04/2021","14.5457","14.6819","14.7109","14.5213","","-0.86%"
"02/04/2021","14.6712","14.6583","14.6875","14.6038","","0.39%"
